fish,stage,day,distance,yds,trial
fish3,Baseline,1,2.4544357640732763,-0.5930894279773845,1
fish3,Baseline,1,6.767645007964904,3.3035378189687177,2
fish3,Baseline,1,5.604249738058243,1.5534684692837248,3
fish3,Baseline,1,9.60186770463389,2.407541733969015,4
fish3,Baseline,1,2.9194469234487737,0.0980915574594038,5
fish3,Baseline,1,3.070414730565353,-0.3063750891331291,6
fish3,Baseline,2,4.341206010223767,0.6543854659269097,1
fish3,Baseline,2,10.58125627663502,-5.225297038691634,2
fish3,Baseline,2,13.997067468079258,9.380619970671663,3
fish3,Baseline,2,7.571152106790972,1.84795069140034,4
fish3,Baseline,2,10.156975625026512,-7.561719619513022,5
fish3,Baseline,2,5.015054887005924,-1.5125108460366885,6
fish3,Baseline,3,7.491328096909236,2.0782199927924445,1
fish3,Baseline,3,11.66703500525604,-6.307526336363939,2
fish3,Baseline,3,10.0795199502682,-6.643116971734239,3
fish3,Baseline,3,8.918823157898105,-2.0429261351991084,4
fish3,Baseline,3,10.329404229087256,-0.359362717887545,5
fish3,Baseline,3,2.668356809440201,-0.4146367720985076,6
fish3,Baseline,4,5.950535317491941,3.044582424657228,1
fish3,Baseline,4,3.230971959854099,-0.916311929133773,2
fish3,Baseline,4,5.2254203796627685,0.2305613555656556,3
fish3,Baseline,4,9.973155019252395,-2.258609464177056,4
fish3,Baseline,4,8.489551919773875,-0.8106164008490438,5
fish3,Baseline,4,2.948797776430544,0.0500981220241055,6
fish3,Baseline,5,15.388665892783214,1.1614092812351415,1
fish3,Baseline,5,4.203165678426804,-1.7810508115779229,2
fish3,Baseline,5,3.257412360172926,-0.163344481195268,3
fish3,Baseline,5,6.673654268039485,2.2618173808846667,4
fish3,Baseline,5,14.651675724787951,-5.472024099390171,5
fish3,Baseline,5,4.193182720791257,-0.5044989300688478,6
fish3,Baseline,6,6.562565475193717,1.482576206821262,1
fish3,Baseline,6,8.078352567052539,1.96987768535046,2
fish3,Baseline,6,14.085792416466356,-4.607225048512343,3
fish3,Baseline,6,17.576488360407254,-8.685253822734824,4
fish3,Baseline,6,2.72236019124964,0.105782660279415,5
fish3,Baseline,6,4.332594210414467,-0.1251037990346636,6
fish3,Baseline,7,6.396898765156729,-3.0652396587187627,1
fish3,Baseline,7,6.15553069630583,0.173069387048442,2
fish3,Baseline,7,10.245623591775225,-6.067985934810192,3
fish3,Baseline,7,11.894449428378774,-4.87805911097353,4
fish3,Baseline,7,10.760943728662596,-6.774814269767767,5
fish3,Baseline,7,9.254286315803837,-5.16213916339648,6
fish3,Baseline,8,11.751799621210823,-7.666474577989629,1
fish3,Baseline,8,8.334933548836682,-2.4797106354256457,2
fish3,Baseline,8,7.302523606767641,4.090232649297056,3
fish3,Baseline,8,10.336724800484916,-3.054638230433532,4
fish3,Baseline,8,4.046437904915878,0.7551299036829241,5
fish3,Baseline,8,5.104099561266559,-3.339564313906754,6
fish3,Baseline,9,3.6914203096296943,0.6713458510026291,1
fish3,Baseline,9,7.1314674195477,2.0388910033272687,2
fish3,Baseline,9,6.55861004858114,0.4798772758105633,3
fish3,Baseline,9,4.804493768181458,-2.546662686279736,4
fish3,Baseline,9,9.339807263171393,-3.313801709546058,5
fish3,Baseline,9,5.00741375898359,-1.1341468686908651,6
fish3,Baseline,10,6.106749578855818,-2.0506391797369963,1
fish3,Baseline,10,6.026648071626815,-1.3988248214238657,2
fish3,Baseline,10,7.318865463374099,-1.6666535647633274,3
fish3,Baseline,10,9.505376837767294,-3.9844949280411406,4
fish3,Baseline,10,9.06109560173272,-2.471028618299624,5
fish3,Baseline,10,6.766032223433782,-1.2306949611508462,6
fish3,Baseline,11,10.903710077759952,-5.880760908926309,1
fish3,Baseline,11,6.695797519927599,2.041809442538024,2
fish3,Baseline,11,6.517672328396752,-3.2368292105682945,3
fish3,Baseline,11,17.501907163086567,-11.644695668795425,4
fish3,Baseline,11,3.075289194759555,0.2104324643114549,5
fish3,Baseline,11,16.67953726073699,-9.926354511794804,6
fish3,Baseline,12,4.715707740992033,0.5870107594788934,1
fish3,Baseline,12,6.498187858781933,-1.7763961555030845,2
fish3,Baseline,12,3.707700461651252,0.0103762531335486,3
fish3,Baseline,12,2.531698494130851,-0.1547377034807563,4
fish3,Baseline,12,4.000003656985397,-0.5082156241969279,5
fish3,Baseline,12,5.065169828402836,-2.5258791649547128,6
fish3,Baseline,13,5.361320412904925,-0.8989593894309326,1
fish3,Baseline,13,9.910019910712162,-5.389528987970687,2
fish3,Baseline,13,4.17308061064452,-0.024325780795185,3
fish3,Baseline,13,6.901153223116169,-1.401280637945421,4
fish3,Baseline,13,7.117725832003451,-2.7082641735059787,5
fish3,Baseline,13,8.202473200733769,3.220066194394309,6
fish3,Baseline,14,8.647819679054416,-4.16541247148358,1
