fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
3.0,Baseline,11.0,9.197651867983248,6.606734924162176,6.260223293269887,4.300333333333334,4.319,3.7548333333333335,3.768,4.8693333333333335,4.893,1.4056666666666666,1.42,0.8336666666666667,0.845,1.9489999999999998,1.97,4.9238333333333335,5.1114999999999995,2.4386666666666668,2.3890000000000002,7.608666666666667,7.675000000000001,6.626666666666668,6.361000000000001,0.884,0.9099999999999999,13.092833333333333,11.779,11,3.888712862576502,5.357823937976672,3.872841303309386,5.327085977668848,11.3278977261638,9.154116075710284
3.0,Baseline,12.0,4.527346785476198,4.532586742694116,1.40010736352997,4.190166666666666,4.207,3.676666666666667,3.689,4.730833333333334,4.751,1.321,1.334,0.7703333333333333,0.777,1.8293333333333335,1.844,4.380166666666667,4.409000000000001,2.3875,2.3635,6.4558333333333335,6.497999999999999,5.644166666666667,5.6205,0.985,0.9505,11.112166666666667,11.128,12,3.793779631255184,5.173670398389364,3.7800427309529665,5.148897568697261,4.793335840851885,4.798312892319065
3.0,Baseline,13.0,7.492045409377415,7.66009951636861,1.9591793463234548,4.0906666666666665,4.106,3.5993333333333335,3.615,4.61,4.63,1.2441666666666666,1.256,0.7311666666666666,0.737,1.7431666666666665,1.756,4.824166666666667,4.8740000000000006,2.5523333333333333,2.561,7.427,7.476,6.2828333333333335,6.343,0.7186666666666667,0.6645,11.949166666666665,12.026499999999999,13,3.711431107830784,5.025136886339547,3.6946817002156322,5.001303504810325,7.813562972119828,7.9753213970566845
3.0,Baseline,14.0,6.234562587653134,5.121632421088293,2.3253878495335827,4.0,4.014,3.5088333333333335,3.521,4.4944999999999995,4.51,1.1743333333333335,1.185,0.694,0.702,1.6660000000000001,1.679,4.494666666666666,4.391500000000001,2.39,2.401,6.5955,6.2765,5.874,5.562,0.8416666666666667,0.835,11.586166666666665,10.923,14,3.6109665552656645,4.88220057195723,3.59711433565688,4.862528347215461,6.7508363049691305,5.723265618671398
3.0,Baseline,15.0,4.0850319484171065,4.03091538652133,1.4904734972124876,3.9173333333333336,3.93,3.4328333333333334,3.448,4.399666666666667,4.417,1.1115000000000002,1.121,0.6466666666666666,0.654,1.5898333333333332,1.601,4.043,3.9995000000000003,2.2276666666666665,2.2685,5.892333333333333,5.8115000000000006,5.347333333333334,5.3055,0.7373333333333334,0.7605,10.695166666666667,10.6195,15,3.52800027960091,4.764293877954482,3.5114289941716432,4.743676686442759,4.410091193795774,4.359511309962565
3.0,Baseline,16.0,5.28617550900258,4.74158574032341,1.3281992579962976,3.842333333333334,3.854,3.3441666666666667,3.357,4.3004999999999995,4.313,1.0553333333333335,1.064,0.6023333333333333,0.61,1.5223333333333333,1.534,4.216333333333334,4.170999999999999,2.3625000000000003,2.35,6.1505,6.01,5.542666666666666,5.4135,0.7235,0.73,10.844333333333333,10.643,16,3.428670897498432,4.640651375889683,3.4143513204862073,4.624399007195767,5.496503593733502,4.973197938583907
3.0,Baseline,17.0,3.90873358085094,3.687901171857132,1.2428891268433209,3.7735,3.784,3.2753333333333328,3.28,4.233666666666667,4.238,1.004,1.012,0.5583333333333332,0.564,1.4555,1.464,3.877333333333333,3.8615,2.244333333333333,2.2395,5.5906666666666665,5.594,5.2205,5.122999999999999,0.594,0.5815,10.51,10.3505,17,3.3428999091113005,4.543274959321396,3.3370915072600025,4.535964757777736,4.150513681449351,3.9418046643170013
3.0,Baseline,18.0,6.425110113556275,6.54306592955723,2.6162030772335583,3.7016666666666667,3.721,3.2276666666666665,3.252,4.189333333333333,4.212,0.9496666666666668,0.964,0.517,0.53,1.3950000000000002,1.413,4.081333333333333,4.179,2.2883333333333336,2.277,5.993333333333333,6.103,5.6611666666666665,5.686,0.6431666666666667,0.618,11.339333333333334,11.054,18,3.3081741281117854,4.499547531861487,3.281565745140587,4.471460803645031,7.047886889450195,7.157018190057462
3.0,Baseline,19.0,3.9226460556196643,4.089648510150912,1.336133154690319,3.6456666666666666,3.663,3.157666666666666,3.179,4.127666666666666,4.144,0.908,0.921,0.4766666666666666,0.491,1.3403333333333334,1.359,3.780333333333333,3.822,2.2235,2.223,5.396999999999999,5.3625,5.163166666666666,5.101,0.6228333333333333,0.623,10.4125,10.299499999999998,19,3.2284388932433816,4.415349080633797,3.2046215066411685,4.393070921610463,4.198025372167125,4.3555876361071295
3.0,Baseline,20.0,3.6994141203854745,3.2240853673299013,1.8447458015699252,3.595,3.611,3.096333333333334,3.115,4.0809999999999995,4.095,0.8703333333333333,0.882,0.438,0.448,1.2906666666666666,1.303,3.656,3.6155,2.153166666666667,2.1645,5.218166666666667,5.0954999999999995,5.1245,5.035,0.7203333333333334,0.7204999999999999,10.6885,10.530999999999999,20,3.157125754323445,4.348619195898853,3.1368672037662586,4.330924161464084,4.210596698843143,3.786297406324274
3.0,Baseline,21.0,3.5967901430998483,3.3303270991465688,0.9878302738754583,3.5483333333333333,3.563,3.039,3.059,4.041666666666667,4.053,0.8363333333333333,0.847,0.41,0.418,1.2563333333333333,1.266,3.6376666666666666,3.6005000000000003,2.1430000000000002,2.1470000000000002,5.100333333333333,5.037,5.014333333333334,4.953,0.6438333333333334,0.6819999999999999,10.241333333333333,10.217500000000001,21,3.0964131200968827,4.295571885251777,3.0752473195147823,4.281389510774232,3.766088667231259,3.511381604714222
3.0,Baseline,22.0,4.008446003312696,3.1786854383977907,2.0720057881548897,3.5056666666666665,3.519,2.9790000000000005,2.999,4.007333333333333,4.019,0.8053333333333333,0.815,0.3873333333333333,0.394,1.228,1.237,3.593666666666667,3.5244999999999997,2.1523333333333334,2.142,5.1135,4.948,5.0695,4.920999999999999,0.5485,0.5609999999999999,10.564333333333334,10.52,22,3.032949373971835,4.253048111724772,3.0120413038895437,4.238805723662807,4.59744203724278,3.8653853932832645
3.0,Baseline,23.0,3.9481064630912996,2.587688773912902,2.433805212208112,3.466666666666667,3.479,2.927,2.939,3.9796666666666667,3.984,0.777,0.786,0.363,0.374,1.198,1.21,3.535,3.412,2.0563333333333333,2.06,4.975833333333333,4.779999999999999,5.085,4.8795,0.5281666666666667,0.5305,10.642833333333334,10.4775,23,2.9702455009886104,4.210339518458118,2.956577518783923,4.2020571999626615,4.72686437589827,3.574508818298851
3.0,Baseline,24.0,3.541925515791153,2.806595676459681,1.5307998634942648,3.4309999999999996,3.442,2.8770000000000002,2.903,3.952666666666667,3.971,0.751,0.759,0.3336666666666667,0.341,1.1643333333333332,1.174,3.4964999999999997,3.4115,2.0749999999999997,2.052,4.8998333333333335,4.754,4.932666666666667,4.8325,0.5585,0.5615,10.202666666666667,10.214,24,2.92935554915735,4.1855662148107875,2.902470458077384,4.16479693393632,3.9235014880714982,3.2582736412787714
3.0,Baseline,25.0,3.58475152588492,3.145775803115935,0.8790863120979204,3.3935,3.3935,2.8015000000000003,2.8015,3.9045,3.9044999999999996,0.7239999999999999,0.724,0.313,0.313,1.1380000000000001,1.138,3.491,3.434,2.183333333333333,2.1745,4.882000000000001,4.865,4.897833333333334,4.837,0.576,0.6045,10.088,10.0205,25,2.8245378433698547,4.1099336982392005,2.8245378433698547,4.1099336982392005,3.7209539238102076,3.298751317569272
3.0,Baseline,26.0,5.476364024088622,4.391902163580652,4.3113267124769905,4.2783999999999995,3.378,3.2308,2.778,5.218999999999999,3.893,1.1146,0.713,0.395,0.307,1.943,1.131,4.5771999999999995,3.631,2.4864,2.294,6.9518,5.28,5.9818,5.039,0.9602,0.678,11.7026,10.402,26,2.8003562013201457,4.096599976490964,3.2625416730152286,5.649733160469782,7.07152642986254,6.175827612176202
3.0,Rotation,1.0,6.297489644961293,6.715990680049025,1.1883436571812764,5.495333333333332,5.629,3.9919999999999995,3.91,6.9173333333333344,7.208,1.6036666666666666,1.717,0.5023333333333334,0.527,2.871,3.161,5.822333333333333,5.8805,3.2023333333333333,3.1585,8.430333333333333,8.502500000000001,6.894666666666667,6.917,1.659,1.641,12.7305,12.627500000000001,27,3.9565476107614383,8.004718941448584,4.033512780160909,7.611016815147855,6.442153608148793,6.852155990204625
3.0,Rotation,2.0,7.241754719263452,7.478347500642734,2.6198965944126273,5.142333333333333,5.228,4.162999999999999,4.156,6.179666666666667,6.336,1.3076666666666668,1.377,0.44766666666666666,0.453,2.172,2.291,5.655166666666666,5.8405000000000005,3.2471666666666668,3.2800000000000002,8.319333333333333,8.49,6.8741666666666665,6.9864999999999995,1.5008333333333335,1.466,12.768333333333333,12.678,28,4.18854688311049,6.831988326590119,4.194741011798099,6.639090650058331,7.809192771932509,8.031024501375837
3.0,Rotation,3.0,6.124165208750511,5.924681656993249,2.4876324124115654,4.911666666666666,4.971,4.156333333333333,4.177,5.756,5.867,1.1223333333333334,1.169,0.4033333333333333,0.437,1.8413333333333333,1.934,5.199166666666667,5.2065,3.078333333333333,3.1465,7.3645,7.1705000000000005,6.403666666666666,6.296,1.3691666666666666,1.3875000000000002,12.194333333333333,12.0365,29,4.207162556553917,6.254835981721403,4.182192398411662,6.116028847037224,6.715215903356855,6.5311467863840065
3.0,Rotation,4.0,4.588912248283068,4.0869450223439205,1.846248610249078,4.749666666666667,4.793,4.079666666666667,4.115,5.457,5.534,0.9956666666666667,1.029,0.325,0.336,1.6183333333333332,1.656,4.755333333333334,4.673500000000001,2.9904999999999995,2.9635,6.558666666666666,6.307,5.982666666666667,5.8525,1.1898333333333333,1.167,11.509,11.272,30,4.133173365306529,5.839836580339171,4.0968220858127316,5.753568235572028,5.024292338130537,4.562809663083572
3.0,Rotation,5.0,5.07788262522311,4.604502772828122,1.561224615093136,4.630333333333334,4.663,3.9956666666666667,4.009,5.268999999999999,5.303,0.9046666666666666,0.929,0.293,0.303,1.5106666666666666,1.543,4.734666666666667,4.728,3.0526666666666666,2.9779999999999998,6.453166666666667,6.379,5.942333333333333,5.8825,1.1761666666666668,1.1589999999999998,11.249,11.137,31,4.024183466034146,5.581137453981385,4.0099163968465925,5.537838985476659,5.373003146688662,4.9250507091489775
3.0,Rotation,6.0,7.4205570391397435,7.383734324332188,3.421615384843022,4.539333333333334,4.565,3.9506666666666668,3.969,5.167666666666666,5.201,0.8373333333333334,0.856,0.25633333333333336,0.273,1.4156666666666666,1.446,4.812666666666666,4.9135,3.0955,3.1710000000000003,6.704666666666667,6.862,6.2988333333333335,6.266500000000001,1.1158333333333335,1.0375,12.366666666666667,12.086,32,3.981461579157918,5.451501014945506,3.961709625044576,5.409748876712975,8.31605578687378,8.28254313529038
3.0,Rotation,7.0,4.7620385354495225,4.8177986240649116,1.4218076432170506,4.467333333333333,4.488,3.8770000000000002,3.914,5.056,5.101,0.7853333333333333,0.8,0.219,0.223,1.3376666666666666,1.355,4.5601666666666665,4.580500000000001,3.0818333333333334,3.0925000000000002,6.085999999999999,6.0440000000000005,5.750666666666667,5.717499999999999,1.1448333333333334,1.1815,11.013,10.963999999999999,33,3.9224437667328367,5.326484678357154,3.885221723405735,5.277809274776457,5.024116564488723,5.077254101697904
3.0,Rotation,8.0,4.135394648041742,4.2791535678260395,1.0160117170434169,4.4093333333333335,4.426,3.7953333333333332,3.803,4.954666666666667,4.966,0.7443333333333334,0.756,0.20566666666666666,0.211,1.2863333333333333,1.303,4.430000000000001,4.4725,3.0643333333333334,3.0505,5.903333333333333,5.8870000000000005,5.654333333333334,5.631,0.96,0.923,10.841666666666667,10.875,34,3.8107813683888483,5.180474917690454,3.802742246772428,5.164412739823759,4.29307618272149,4.432041959594704
3.0,Rotation,9.0,5.1052926029325905,5.286975486041534,2.2417772560956366,4.362,4.376,3.760666666666667,3.78,4.915,4.932,0.7113333333333333,0.721,0.18100000000000002,0.195,1.2299999999999998,1.253,4.468833333333333,4.512499999999999,3.0695,3.133,5.984333333333333,5.991,5.8260000000000005,5.7235,1.0306666666666666,1.0245,11.255166666666668,11.2475,35,3.786689121428075,5.132396391219604,3.7664613297609026,5.1090789158495475,5.670879683994051,5.8376551284156415
3.0,Rotation,10.0,4.928220369962038,4.60437627326805,1.5609664606739206,4.322666666666667,4.334,3.715,3.722,4.883,4.881,0.6843333333333333,0.692,0.14766666666666667,0.153,1.172,1.184,4.434833333333334,4.432,3.0576666666666665,3.0855,5.869666666666667,5.846,5.700500000000001,5.618,1.0215,0.9985,10.997833333333332,11.02,36,3.7261860547914463,5.062652011452916,3.718907064624273,5.061097646153781,5.230873304939473,4.92483441185561
