y,fish,stage,day,plotday
-0.5930894279773845,3,Baseline,1,1
3.3035378189687177,3,Baseline,1,1
1.5534684692837248,3,Baseline,1,1
2.407541733969015,3,Baseline,1,1
0.0980915574594038,3,Baseline,1,1
-0.3063750891331291,3,Baseline,1,1
0.6543854659269097,3,Baseline,2,2
-5.225297038691634,3,Baseline,2,2
9.380619970671663,3,Baseline,2,2
1.84795069140034,3,Baseline,2,2
-7.561719619513022,3,Baseline,2,2
-1.5125108460366885,3,Baseline,2,2
2.0782199927924445,3,Baseline,3,3
-6.307526336363939,3,Baseline,3,3
-6.643116971734239,3,Baseline,3,3
-2.0429261351991084,3,Baseline,3,3
-0.359362717887545,3,Baseline,3,3
-0.4146367720985076,3,Baseline,3,3
3.044582424657228,3,Baseline,4,4
-0.916311929133773,3,Baseline,4,4
0.2305613555656556,3,Baseline,4,4
-2.258609464177056,3,Baseline,4,4
-0.8106164008490438,3,Baseline,4,4
0.0500981220241055,3,Baseline,4,4
1.1614092812351415,3,Baseline,5,5
-1.7810508115779229,3,Baseline,5,5
-0.163344481195268,3,Baseline,5,5
2.2618173808846667,3,Baseline,5,5
-5.472024099390171,3,Baseline,5,5
-0.5044989300688478,3,Baseline,5,5
1.482576206821262,3,Baseline,6,6
1.96987768535046,3,Baseline,6,6
-4.607225048512343,3,Baseline,6,6
-8.685253822734824,3,Baseline,6,6
0.105782660279415,3,Baseline,6,6
-0.1251037990346636,3,Baseline,6,6
-3.0652396587187627,3,Baseline,7,7
0.173069387048442,3,Baseline,7,7
-6.067985934810192,3,Baseline,7,7
-4.87805911097353,3,Baseline,7,7
-6.774814269767767,3,Baseline,7,7
-5.16213916339648,3,Baseline,7,7
-7.666474577989629,3,Baseline,8,8
-2.4797106354256457,3,Baseline,8,8
4.090232649297056,3,Baseline,8,8
-3.054638230433532,3,Baseline,8,8
0.7551299036829241,3,Baseline,8,8
-3.339564313906754,3,Baseline,8,8
0.6713458510026291,3,Baseline,9,9
2.0388910033272687,3,Baseline,9,9
0.4798772758105633,3,Baseline,9,9
-2.546662686279736,3,Baseline,9,9
-3.313801709546058,3,Baseline,9,9
-1.1341468686908651,3,Baseline,9,9
-2.0506391797369963,3,Baseline,10,10
-1.3988248214238657,3,Baseline,10,10
-1.6666535647633274,3,Baseline,10,10
-3.9844949280411406,3,Baseline,10,10
-2.471028618299624,3,Baseline,10,10
-1.2306949611508462,3,Baseline,10,10
-5.880760908926309,3,Baseline,11,11
2.041809442538024,3,Baseline,11,11
-3.2368292105682945,3,Baseline,11,11
-11.644695668795425,3,Baseline,11,11
0.2104324643114549,3,Baseline,11,11
-9.926354511794804,3,Baseline,11,11
0.5870107594788934,3,Baseline,12,12
-1.7763961555030845,3,Baseline,12,12
0.0103762531335486,3,Baseline,12,12
-0.1547377034807563,3,Baseline,12,12
-0.5082156241969279,3,Baseline,12,12
-2.5258791649547128,3,Baseline,12,12
-0.8989593894309326,3,Baseline,13,13
-5.389528987970687,3,Baseline,13,13
-0.024325780795185,3,Baseline,13,13
-1.401280637945421,3,Baseline,13,13
-2.7082641735059787,3,Baseline,13,13
3.220066194394309,3,Baseline,13,13
-4.16541247148358,3,Baseline,14,14
-1.136170526116841,3,Baseline,14,14
-2.945918759612029,3,Baseline,14,14
-0.2958965206123499,3,Baseline,14,14
0.0732223779545633,3,Baseline,14,14
-6.154781319492514,3,Baseline,14,14
-0.6156139217632592,3,Baseline,15,15
-0.8181484117416826,3,Baseline,15,15
-2.814806338911193,3,Baseline,15,15
-0.1274967239815543,3,Baseline,15,15
-3.292574090765221,3,Baseline,15,15
0.9711213203139218,3,Baseline,15,15
-0.2886996110949339,3,Baseline,16,16
-4.732980306644912,3,Baseline,16,16
-1.018239228946485,3,Baseline,16,16
-0.5977242772292466,3,Baseline,16,16
0.208768505044349,3,Baseline,16,16
-3.2830161843288925,3,Baseline,16,16
0.4715901780596211,3,Baseline,17,17
-1.931536105621532,3,Baseline,17,17
0.2112144819643508,3,Baseline,17,17
1.5025267444368164,3,Baseline,17,17
0.0305646951321566,3,Baseline,17,17
-0.4404213073981075,3,Baseline,17,17
-0.4134873584464977,3,Baseline,18,18
-3.2715914878975387,3,Baseline,18,18
-7.202919733248538,3,Baseline,18,18
-0.1660544888385794,3,Baseline,18,18
-0.0051121933726429,3,Baseline,18,18
0.6673966927547506,3,Baseline,18,18
-0.346677809358305,3,Baseline,19,19
-0.4773524449537016,3,Baseline,19,19
-0.3235513235970815,3,Baseline,19,19
-1.6151140406414712,3,Baseline,19,19
-0.2368520775891339,3,Baseline,19,19
-0.5826867389356478,3,Baseline,19,19
-0.6729234035705562,3,Baseline,20,20
-0.1565316993944783,3,Baseline,20,20
0.1421555665985296,3,Baseline,20,20
-0.5851912640972088,3,Baseline,20,20
1.90040035614234,3,Baseline,20,20
-0.1877914040639035,3,Baseline,20,20
-0.4989485436490821,3,Baseline,21,21
-0.544447831336001,3,Baseline,21,21
-0.0442148103530482,3,Baseline,21,21
0.0447402935316847,3,Baseline,21,21
-0.1794105734068205,3,Baseline,21,21
-2.7940470286918666,3,Baseline,21,21
