fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,12.0,-0.7279736059205065,-0.3314766638388421,-0.742,-0.742,-1.121,-1.121,-0.381,-0.381,-0.7321666666666666,-0.6990000000000001,-1.8256666666666668,-1.8215,0.36683333333333334,0.384,-0.7586666666666666,-0.7355,-6.144666666666667,-6.1195,4.670333333333333,4.53,12
3.0,Baseline,13.0,-1.2003821292089825,-1.1501200136881768,-0.7399999999999999,-0.74,-1.108,-1.108,-0.35600000000000004,-0.356,-0.7605,-0.7755000000000001,-1.8508333333333333,-1.8159999999999998,0.295,0.26049999999999995,-0.7196666666666666,-0.7384999999999999,-6.582166666666667,-6.5155,5.2595,4.7625,13
3.0,Baseline,14.0,-2.437492869893792,-2.041044642864435,-0.738,-0.738,-1.112,-1.112,-0.357,-0.357,-0.79,-0.8069999999999999,-1.8711666666666666,-1.875,0.21433333333333335,0.1985,-0.7683333333333334,-0.775,-6.796499999999999,-6.3100000000000005,5.336666666666666,5.2185,14
3.0,Baseline,15.0,-1.1162530278081646,-0.7168811667524709,-0.7360000000000001,-0.736,-1.114,-1.114,-0.3539999999999999,-0.354,-0.7454999999999999,-0.724,-1.7531666666666668,-1.6975,0.25866666666666666,0.252,-0.7313333333333333,-0.716,-6.203500000000001,-5.958,4.728833333333333,4.6685,15
3.0,Baseline,16.0,-1.61864851720002,-0.8079817530878658,-0.734,-0.734,-1.13,-1.13,-0.36400000000000005,-0.364,-0.7578333333333332,-0.732,-1.7655,-1.717,0.20333333333333334,0.201,-0.7421666666666668,-0.7505,-6.374666666666666,-6.006,4.882666666666666,4.721,16
3.0,Baseline,17.0,-0.026010218904449073,0.1208895885482537,-0.733,-0.733,-1.134,-1.134,-0.361,-0.361,-0.691,-0.6755,-1.6676666666666666,-1.6425,0.27566666666666667,0.28200000000000003,-0.6506666666666666,-0.648,-6.081499999999999,-6.0365,4.844,4.939500000000001,17
3.0,Baseline,18.0,-1.7319614281748412,-0.28977092364253854,-0.7318333333333333,-0.732,-1.1343333333333332,-1.134,-0.3561666666666667,-0.357,-0.7341666666666667,-0.6955,-1.7021666666666666,-1.6509999999999998,0.21,0.22749999999999998,-0.7323333333333334,-0.6895,-6.607333333333334,-5.9725,5.386833333333333,5.12,18
3.0,Baseline,19.0,-0.5970390725125568,-0.4120151271560033,-0.7308333333333333,-0.731,-1.1341666666666665,-1.136,-0.3495,-0.352,-0.7196666666666666,-0.711,-1.662,-1.647,0.16766666666666666,0.183,-0.7320000000000001,-0.747,-5.749333333333333,-5.739,4.516666666666667,4.5575,19
3.0,Baseline,20.0,0.07335302526912042,-0.1721615517291909,-0.7298333333333332,-0.73,-1.1246666666666667,-1.125,-0.3358333333333334,-0.337,-0.6888333333333333,-0.6855,-1.6171666666666666,-1.6185,0.22633333333333336,0.21200000000000002,-0.6723333333333333,-0.6775,-6.1048333333333344,-5.949,4.597333333333333,4.491,20
3.0,Baseline,21.0,-0.6693880823175222,-0.3391795585279513,-0.7288333333333333,-0.729,-1.1239999999999999,-1.123,-0.3305,-0.33,-0.7153333333333333,-0.7035,-1.6209999999999998,-1.6019999999999999,0.19799999999999998,0.213,-0.7093333333333334,-0.7124999999999999,-6.004333333333332,-5.912,4.726666666666667,4.694,21
3.0,Baseline,22.0,-0.7392510153361002,-0.468636530215387,-0.7280000000000001,-0.728,-1.1295,-1.129,-0.333,-0.333,-0.7176666666666667,-0.703,-1.6686666666666667,-1.6395,0.14933333333333335,0.1665,-0.7333333333333334,-0.732,-6.1801666666666675,-6.183,4.531333333333333,4.4815000000000005,22
3.0,Baseline,23.0,-1.2642598359516495,-0.28620942315305836,-0.7278333333333333,-0.728,-1.1326666666666665,-1.132,-0.3335000000000001,-0.333,-0.7334999999999999,-0.6984999999999999,-1.679,-1.6555,0.15433333333333335,0.16949999999999998,-0.7263333333333333,-0.735,-6.105999999999999,-6.0915,5.048166666666667,4.859500000000001,23
3.0,Baseline,24.0,-0.18099949897458312,-0.00868787403269375,-0.727,-0.727,-1.136,-1.136,-0.3356666666666667,-0.336,-0.695,-0.6875,-1.5756666666666668,-1.5625,0.18783333333333332,0.20600000000000002,-0.7141666666666667,-0.71,-5.978666666666666,-5.986000000000001,4.423666666666667,4.382,24
3.0,Baseline,25.0,-0.11851601241478553,-0.02662028007782405,-0.7266666666666666,-0.727,-1.136,-1.136,-0.3336666666666667,-0.334,-0.691,-0.6865,-1.578,-1.5715,0.19533333333333333,0.1835,-0.6801666666666666,-0.7055,-5.985333333333333,-6.149,4.6245,4.74,25
3.0,Baseline,26.0,1.77500152244208,-0.0569288672379422,0.3666666666666667,-0.726,-0.39699999999999996,-1.136,1.1806666666666668,-0.333,0.6181666666666666,-0.681,-0.9841666666666667,-1.5725,2.2646666666666664,0.188,0.6078333333333333,-0.642,-5.272166666666667,-5.824,6.449333333333333,4.7415,26
3.0,Rotation,1.0,2.328401662948027,2.635074024190642,2.2803333333333335,2.552,0.9593333333333334,1.081,3.7053333333333334,4.208,2.2761666666666667,2.0025,-0.248,-0.108,4.954166666666667,4.7735,2.2878333333333334,2.033,-3.829166666666667,-3.602,8.5785,8.4945,27
3.0,Rotation,2.0,2.5133791889929844,2.1279381280505074,1.561,1.737,0.6296666666666667,0.716,2.4440000000000004,2.7,1.74,1.5765,-0.20383333333333334,-0.2745,3.8805,3.6785,1.7545,1.597,-4.100666666666667,-4.066000000000001,7.511,7.3485,28
3.0,Rotation,3.0,0.5869094915333734,0.07327964365552835,1.091,1.209,0.38033333333333336,0.457,1.774,1.932,0.9953333333333333,0.901,-0.7016666666666667,-0.7105,2.6936666666666667,2.6965,1.0055,0.8545,-4.9005,-4.862,6.79,6.646,29
3.0,Rotation,4.0,0.9527197433641694,0.0803531499095274,0.7746666666666666,0.855,0.17966666666666667,0.227,1.3523333333333334,1.458,0.7593333333333333,0.728,-0.605,-0.6315,2.2158333333333333,2.1689999999999996,0.7876666666666666,0.7515000000000001,-4.718666666666667,-4.6805,6.585,6.455,30
3.0,Rotation,5.0,0.8933745980246011,0.29993778516055497,0.5573333333333333,0.614,0.04700000000000001,0.085,1.0663333333333334,1.141,0.5433333333333333,0.5485,-0.6266666666666666,-0.6275,1.8031666666666668,1.8165,0.5315,0.546,-5.0245,-4.8065,6.114999999999999,5.801,31
3.0,Rotation,6.0,1.269910087794136,0.6622516957221893,0.40399999999999997,0.444,-0.062,-0.029,0.8620000000000001,0.917,0.4398333333333333,0.41400000000000003,-0.6803333333333333,-0.677,1.5948333333333335,1.525,0.40216666666666673,0.3895,-5.505,-5.4815000000000005,6.0343333333333335,5.7205,32
3.0,Rotation,7.0,0.2601808495133175,0.3312782009069454,0.295,0.324,-0.14433333333333334,-0.128,0.7313333333333333,0.752,0.29850000000000004,0.2975,-0.7204999999999999,-0.7155,1.3351666666666666,1.3395000000000001,0.3245,0.33199999999999996,-5.1738333333333335,-5.1015,5.5553333333333335,5.5105,33
3.0,Rotation,8.0,0.11599021382131032,-0.0744186849972547,0.21599999999999997,0.237,-0.20666666666666667,-0.177,0.6669999999999999,0.69,0.20716666666666664,0.218,-0.7663333333333333,-0.7655000000000001,1.1618333333333333,1.154,0.1985,0.1885,-4.887666666666667,-4.885,5.419666666666667,5.4235,34
3.0,Rotation,9.0,0.5591984059687057,0.02776898746782905,0.15833333333333333,0.174,-0.28633333333333333,-0.266,0.6086666666666667,0.621,0.166,0.1655,-0.7695,-0.754,1.1108333333333333,1.1255,0.152,0.14300000000000002,-5.231,-5.0445,5.4985,5.366,35
3.0,Rotation,10.0,-0.5022831548170935,0.06903364463607115,0.11533333333333333,0.127,-0.3426666666666667,-0.327,0.5783333333333333,0.584,0.10883333333333334,0.1095,-0.8461666666666666,-0.8340000000000001,1.0498333333333332,1.0225,0.10049999999999999,0.10250000000000001,-5.709,-5.672499999999999,5.771666666666667,5.622,36
3.0,Rotation,11.0,-0.7177395207733883,0.7960564773339693,0.083,0.092,-0.39266666666666666,-0.374,0.5599999999999999,0.567,0.09066666666666667,0.11699999999999999,-0.862,-0.846,1.0308333333333333,1.0305,0.08183333333333334,0.114,-6.079833333333333,-5.7620000000000005,6.747833333333333,6.3655,37
3.0,Rotation,12.0,-0.1625223588248141,-0.023060030700191,0.05833333333333333,0.065,-0.441,-0.43,0.5453333333333333,0.546,0.04583333333333334,0.051000000000000004,-0.8691666666666666,-0.8654999999999999,0.908,0.8935,0.06983333333333333,0.08549999999999999,-5.038666666666667,-5.1065000000000005,5.287,5.186999999999999,38
3.0,Rotation,13.0,-1.554327595433348,-0.1777520461662182,0.04,0.045,-0.47300000000000003,-0.463,0.5443333333333333,0.544,0.010666666666666666,0.022,-0.8818333333333334,-0.864,0.9265,0.945,0.0545,0.053500000000000006,-5.763833333333333,-5.2445,5.9991666666666665,5.359500000000001,39
3.0,Rotation,14.0,-0.6967454924780817,-0.19644284590609634,0.026,0.03,-0.5013333333333333,-0.493,0.5443333333333333,0.545,0.010666666666666666,0.014,-0.8778333333333332,-0.853,0.9176666666666667,0.9125000000000001,0.036,0.04,-5.617333333333334,-5.0765,5.571000000000001,5.4615,40
3.0,Rotation,15.0,0.19101454966269638,0.26348691670766117,0.014666666666666666,0.018,-0.5243333333333333,-0.518,0.5433333333333333,0.543,0.018500000000000003,0.029500000000000002,-0.919,-0.9275,0.9106666666666667,0.9125000000000001,-0.001666666666666668,0.0004999999999999996,-6.469333333333334,-6.5760000000000005,6.3265,6.371,41
3.0,Rotation,16.0,0.1596584635032623,0.09241470835352966,-0.597,0.008,-1.4833333333333334,-0.537,0.3196666666666667,0.544,-0.44,-0.014,-2.0516666666666663,-0.8915,1.2859999999999998,0.9565,-0.465,-0.041499999999999995,-6.352333333333334,-5.885,5.194833333333333,5.268000000000001,42
