fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,11.0,10.228985590777903,8.799753798843776,3.581,3.581,2.968,2.968,4.175,4.175,6.989166666666667,6.444,3.3186666666666667,3.343,11.288000000000002,9.873999999999999,7.041166666666666,6.5235,-1.3308333333333333,-0.921,15.100999999999999,13.5705,11
3.0,Baseline,12.0,4.419744673490717,4.357855698988715,3.531,3.531,2.919,2.919,4.119,4.119,4.833666666666667,4.752000000000001,3.1781666666666664,3.1464999999999996,6.980333333333333,6.8345,4.8365,4.7405,-0.7768333333333333,-0.6895,10.919833333333335,10.856,12
3.0,Baseline,13.0,6.944295531685832,7.00943952755981,3.486,3.486,2.889,2.889,4.093,4.093,5.444,5.461,3.2086666666666663,3.204,8.230333333333332,8.174,5.4395,5.4495000000000005,-1.1831666666666667,-1.116,11.841333333333333,11.577,13
3.0,Baseline,14.0,6.856261316520411,6.986728607690126,3.4470000000000005,3.447,2.865,2.865,4.073,4.073,5.3425,5.3695,3.157666666666667,3.1725000000000003,8.081666666666667,8.0755,5.333333333333333,5.3740000000000006,-1.0833333333333333,-0.98,11.817333333333332,11.900500000000001,14
3.0,Baseline,15.0,4.146687120990199,4.215880904240607,3.4120000000000004,3.412,2.831,2.831,4.046,4.046,4.5569999999999995,4.516,3.032666666666666,3.0195,6.450333333333333,6.3335,4.562666666666667,4.4925,-1.0563333333333333,-1.1295,10.5845,10.692499999999999,15
3.0,Baseline,16.0,5.34375502848784,4.818551482331148,3.381,3.381,2.767,2.767,3.993,3.993,4.709166666666667,4.573,3.0500000000000003,3.056,6.7571666666666665,6.5184999999999995,4.688666666666666,4.560499999999999,-1.0605,-1.0855000000000001,10.4615,10.323,16
3.0,Baseline,17.0,4.15454529146727,4.09164112414331,3.3540000000000005,3.354,2.735,2.735,3.975,3.975,4.390333333333333,4.339,2.9405,2.933,6.123666666666668,6.066,4.394,4.390000000000001,-1.1518333333333335,-1.259,10.06,10.153,17
3.0,Baseline,18.0,5.650122853806894,5.103663380749156,3.3255,3.329,2.7418333333333336,2.749,4.0005,4.006,4.660166666666666,4.5280000000000005,2.9643333333333337,2.98,6.97,6.4475,4.687166666666666,4.574,-1.5066666666666668,-1.5845,11.049,10.439,18
3.0,Baseline,19.0,4.449926330695772,4.602731533030306,3.3046666666666664,3.308,2.699333333333333,2.706,3.968666666666666,3.973,4.379333333333333,4.3585,2.9011666666666667,2.9189999999999996,6.226333333333333,6.1135,4.4205,4.4035,-1.55,-1.5005000000000002,10.359666666666667,10.361,19
3.0,Baseline,20.0,3.8737216243166106,3.4084055587020847,3.2851666666666666,3.288,2.6664999999999996,2.666,3.9503333333333335,3.947,4.2218333333333335,4.0915,2.889,2.8925,5.917999999999999,5.6495,4.223333333333334,4.0885,-1.4766666666666666,-1.569,9.964166666666666,9.7325,20
